Model,Dice,IOU,Precision,Recall,F1
LinkNet,0.637985164,0.514651248,0.771748521,0.711379457,0.740335361
UNet,0.648118034,0.56787337,0.816586436,0.686263959,0.745774619
KD UNet,0.680565817,0.601657903,0.808702552,0.722369171,0.763101797
CKD Unet,0.687230051,0.605937156,0.819460761,0.722347199,0.767845543
